"Story","Title","Result","Date","Stability","Duration (s)"
"Change language test","Content language test german","FAILURE","2021-11-05T20:57:59.6859617+02:00[Europe/Bucharest]","0.0","9.41"
"Language test","Content language test french","FAILURE","2021-11-05T23:22:06.5885134+02:00[Europe/Bucharest]","0.0","6.65"
"Language test","Content language test german","FAILURE","2021-11-05T23:22:13.5708145+02:00[Europe/Bucharest]","0.0","4.53"
"Search product by name","Add to cart searched product dress","FAILURE","2021-10-21T11:09:07.4228609+03:00[Europe/Bucharest]","0.0","18.71"
"Shopping cart test","Add to cart searched product","FAILURE","2021-10-21T14:15:57.1046768+03:00[Europe/Bucharest]","0.0","20.44"
"Shopping cart test","Remove product from cart","FAILURE","2021-10-21T14:16:18.2993461+03:00[Europe/Bucharest]","0.0","14.57"
"RN test","Search for skirts","FAILURE","2021-10-25T15:10:00.7519733+03:00[Europe/Athens]","0.0","4.01"
"Sort test","Change sorting option on page","FAILURE","2021-10-25T17:31:06.270717+03:00[Europe/Bucharest]","0.0","10.86"
"Sort test","Change sorting direction position","FAILURE","2021-11-05T23:38:18.728132+02:00[Europe/Bucharest]","0.0","5.01"
